CustomerAccountNumber,Gender,CustomerAge,City,RemainingBalance
123456789013,Female,21,Delhi,5557.02
123456789014,Male,22,Bangalore,9753.32
123456789015,Female,23,Hyderabad,7597.35
123456789016,Male,24,Mumbai,2327.84
123456789017,Female,25,Delhi,1136.84
123456789018,Male,26,Bangalore,765.1
123456789019,Female,27,Hyderabad,7548.03
123456789020,Male,28,Mumbai,6875.7
123456789021,Female,29,Delhi,5705.81
123456789022,Male,30,Bangalore,4237.42
123456789023,Female,31,Hyderabad,2.1
123456789024,Male,32,Mumbai,7861.46
123456789025,Female,33,Delhi,5598.1
123456789026,Male,34,Bangalore,3249.57
123456789027,Female,35,Hyderabad,2883.52
123456789028,Male,36,Mumbai,58.02
123456789029,Female,37,Delhi,8192.47
123456789030,Male,38,Bangalore,8947.62
123456789031,Female,39,Hyderabad,8755.97
123456789032,Male,40,Mumbai,5189.37
123456789033,Female,41,Delhi,5917.7
123456789034,Male,42,Bangalore,4431.16
123456789035,Female,43,Hyderabad,6280.01
123456789036,Male,44,Mumbai,2415.86
123456789037,Female,45,Delhi,1482.52
123456789038,Male,46,Bangalore,7736.92
123456789039,Female,47,Hyderabad,766.4
123456789040,Male,48,Mumbai,7429.94
123456789041,Female,49,Delhi,4027.72
123456789042,Male,50,Bangalore,44.32
123456789043,Female,51,Hyderabad,8662.02
123456789044,Male,52,Mumbai,5026.58
123456789045,Female,53,Delhi,3021.32
123456789046,Male,54,Bangalore,6625.38
123456789047,Female,55,Hyderabad,8879.92
123456789048,Male,56,Mumbai,9272.72
123456789049,Female,57,Delhi,8870.81
123456789050,Male,58,Bangalore,7100.92
123456789051,Female,59,Hyderabad,31.99
123456789052,Male,20,Mumbai,7098.38
123456789053,Female,21,Delhi,1134.52
123456789054,Male,22,Bangalore,6857.86
123456789055,Female,23,Hyderabad,1945.98
123456789056,Male,24,Mumbai,6332.93
123456789057,Female,25,Delhi,1343.49
123456789058,Male,26,Bangalore,8161.38
123456789059,Female,27,Hyderabad,4530.16
123456789060,Male,28,Mumbai,4943.41
123456789061,Female,29,Delhi,3162.11
123456789062,Male,30,Bangalore,1182.48
123456789063,Female,31,Hyderabad,9923.06
123456789064,Male,32,Mumbai,1999.3
123456789065,Female,33,Delhi,5833.67
123456789066,Male,34,Bangalore,8241.59
123456789067,Female,35,Hyderabad,7989.63
123456789068,Male,36,Mumbai,9710.39
123456789069,Female,37,Delhi,8504.05
123456789070,Male,38,Bangalore,5758.47
123456789071,Female,39,Hyderabad,6949.3
123456789072,Male,40,Mumbai,3601.68
123456789073,Female,41,Delhi,4541.38
123456789074,Male,42,Bangalore,6027.89
123456789075,Female,43,Hyderabad,3004.97
123456789076,Male,44,Mumbai,6343.03
123456789077,Female,45,Delhi,830.75
123456789078,Male,46,Bangalore,990.96
123456789079,Female,47,Hyderabad,5152.44
123456789080,Male,48,Mumbai,3257.98
123456789081,Female,49,Delhi,7152.35
123456789082,Male,50,Bangalore,1035.24
123456789083,Female,51,Hyderabad,4462.8
123456789084,Male,52,Mumbai,2240.34
123456789085,Female,53,Delhi,3131.34
123456789086,Male,54,Bangalore,1283.94
123456789087,Female,55,Hyderabad,4590.19
123456789088,Male,56,Mumbai,4922.13
123456789089,Female,57,Delhi,6073.74
123456789090,Male,58,Bangalore,2735.63
123456789091,Female,59,Hyderabad,5811.54
123456789092,Male,20,Mumbai,2015.36
123456789093,Female,21,Delhi,2034.02
123456789094,Male,22,Bangalore,4862.73
123456789095,Female,23,Hyderabad,6185.61
123456789096,Male,24,Mumbai,9508.18
123456789097,Female,25,Delhi,1805.99
123456789098,Male,26,Bangalore,123.08
123456789099,Female,27,Hyderabad,4829.75
123456789100,Male,28,Mumbai,9860.5
123456789101,Female,29,Delhi,6827.44
123456789102,Male,30,Bangalore,1155.54
123456789103,Female,31,Hyderabad,6543.26
123456789104,Male,32,Mumbai,8714.16
123456789105,Female,33,Delhi,1900.92
123456789106,Male,34,Bangalore,7011.43
123456789107,Female,35,Hyderabad,690.82
123456789108,Male,36,Mumbai,8527.06
123456789109,Female,37,Delhi,4376.29
123456789110,Male,38,Bangalore,8601.03
123456789111,Female,39,Hyderabad,7248.94
123456789112,Male,40,Mumbai,7757.98
123456789113,Female,41,Delhi,5643.04
123456789114,Male,42,Bangalore,4279.26
123456789115,Female,43,Hyderabad,9723.93
123456789116,Male,44,Mumbai,4378.32
123456789117,Female,45,Delhi,4675.2
123456789118,Male,46,Bangalore,3982.56
123456789119,Female,47,Hyderabad,8894.49
123456789120,Male,48,Mumbai,6758.73
123456789121,Female,49,Delhi,8210.37
123456789122,Male,50,Bangalore,582.17
123456789123,Female,51,Hyderabad,8686.87
123456789124,Male,52,Mumbai,8940.52
123456789125,Female,53,Delhi,3542.09
123456789126,Male,54,Bangalore,3686.62
123456789127,Female,55,Hyderabad,4454.47
123456789128,Male,56,Mumbai,2116.14
123456789129,Female,57,Delhi,9676.41
123456789130,Male,58,Bangalore,1543.94
123456789131,Female,59,Hyderabad,7300.24
123456789132,Male,20,Mumbai,6520.62
123456789133,Female,21,Delhi,713.51
123456789134,Male,22,Bangalore,6155.73
123456789135,Female,23,Hyderabad,151.9
123456789136,Male,24,Mumbai,3380.72
123456789137,Female,25,Delhi,5371.61
123456789138,Male,26,Bangalore,5108.25
123456789139,Female,27,Hyderabad,9543.16
123456789140,Male,28,Mumbai,5605.45
123456789141,Female,29,Delhi,810.43
123456789142,Male,30,Bangalore,7808.38
123456789143,Female,31,Hyderabad,3886.0
123456789144,Male,32,Mumbai,319.52
123456789145,Female,33,Delhi,2180.55
123456789146,Male,34,Bangalore,6687.39
123456789147,Female,35,Hyderabad,5082.73
123456789148,Male,36,Mumbai,3785.82
123456789149,Female,37,Delhi,178.17
123456789150,Male,38,Bangalore,6679.28
123456789151,Female,39,Hyderabad,4720.81
123456789152,Male,40,Mumbai,3728.95
123456789153,Female,41,Delhi,5347.13
123456789154,Male,42,Bangalore,7630.73
123456789155,Female,43,Hyderabad,3233.92
123456789156,Male,44,Mumbai,8461.47
123456789157,Female,45,Delhi,260.69
123456789158,Male,46,Bangalore,4147.54
123456789159,Female,47,Hyderabad,9196.16
123456789160,Male,48,Mumbai,5021.77
123456789161,Female,49,Delhi,1655.12
123456789162,Male,50,Bangalore,4275.44
123456789163,Female,51,Hyderabad,6670.58
123456789164,Male,52,Mumbai,6544.33
123456789165,Female,53,Delhi,40.35
123456789166,Male,54,Bangalore,9864.94
123456789167,Female,55,Hyderabad,757.89
123456789168,Male,56,Mumbai,713.09
