TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,Purpose,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber
TXN00001,2024-02-02,271.64,SBI Bank,HDFC Bank,Transfer,Success,17:12:14,Tablet,Phone Number,Food,Scheduled,USD,123456789013,987654321013
TXN00002,2024-03-03,1064.63,ICICI Bank,SBI Bank,Payment,Success,11:15:02,Laptop,QR Code,Travel,Instant,EUR,123456789014,987654321014
TXN00003,2024-04-04,144.15,Axis Bank,Axis Bank,Transfer,Success,21:29:39,Mobile,UPI ID,Bill Payment,Scheduled,GBP,123456789015,987654321015
TXN00004,2024-05-05,612.89,HDFC Bank,ICICI Bank,Payment,Success,06:27:36,Tablet,Phone Number,Others,Instant,INR,123456789016,987654321016
TXN00005,2024-06-06,743.32,SBI Bank,HDFC Bank,Transfer,Failed,02:06:22,Laptop,QR Code,Shopping,Scheduled,USD,123456789017,987654321017
TXN00006,2024-07-07,665.72,ICICI Bank,SBI Bank,Payment,Success,10:06:54,Mobile,UPI ID,Food,Instant,EUR,123456789018,987654321018
TXN00007,2024-08-08,877.72,Axis Bank,Axis Bank,Transfer,Success,09:36:49,Tablet,Phone Number,Travel,Scheduled,GBP,123456789019,987654321019
TXN00008,2024-09-09,512.54,HDFC Bank,ICICI Bank,Payment,Success,01:14:17,Laptop,QR Code,Bill Payment,Instant,INR,123456789020,987654321020
TXN00009,2024-10-10,171.02,SBI Bank,HDFC Bank,Transfer,Success,09:02:48,Mobile,UPI ID,Others,Scheduled,USD,123456789021,987654321021
TXN00010,2024-11-11,288.03,ICICI Bank,SBI Bank,Payment,Failed,18:03:01,Tablet,Phone Number,Shopping,Instant,EUR,123456789022,987654321022
TXN00011,2024-12-12,761.47,Axis Bank,Axis Bank,Transfer,Success,17:32:18,Laptop,QR Code,Food,Scheduled,GBP,123456789023,987654321023
TXN00012,2024-01-13,881.5,HDFC Bank,ICICI Bank,Payment,Success,07:14:28,Mobile,UPI ID,Travel,Instant,INR,123456789024,987654321024
